State,County,Prevalence,Number in Group
GA,13251,0.02441301405031975,46
GA,13293,0.02657597089298426,92
GA,13217,0.012004455904462915,140
GA,13101,0.024566369287691216,4063
GA,13183,0.022334147334147333,39
GA,13193,0.019469026548672566,32
GA,13061,0.03751187084520418,20
GA,13129,0.017344993670241404,109
GA,13005,0.04415485829959514,60
GA,13237,0.015053421773841204,35
GA,13037,0.01744186046511628,12
GA,13257,0.04242909423604758,126
GA,13055,0.010341321713870734,33
GA,13277,0.027045610818244328,157
GA,13149,0.009331364124597208,12
GA,13111,0.012333034609311655,26
GA,13171,0.015101563330851856,27
GA,13179,0.015952629745733193,81
GA,13009,0.006960871757086904,32
GA,13209,0.03596458871265216,36
GA,13049,0.02742549143944198,33
GA,13289,0.019121664215171256,16
GA,13075,0.05757218212104386,144
GA,13069,0.03649243957614002,222
GA,13063,0.012850618381699135,571
GA,13033,0.006729249485128598,25
GA,13259,0.04467240238252813,24
GA,13233,0.030057531994833863,164
GA,13303,0.014151932350269061,37
GA,13315,0.04791991466316567,52
GA,13155,0.06647933150928048,80
GA,13085,0.022291678952644927,32
GA,13079,0.026379524775806767,36
GA,13043,0.020262621688929137,34
GA,13269,0.019676945668135097,17
GA,13025,0.02524160991722057,56
GA,13051,0.018546527576977542,444
GA,13207,0.04400171993693565,79
GA,13309,0.04380682489077813,32
GA,13239,0.042825280963967094,265
GA,13261,0.019127228924458395,92
GA,13235,0.06216096042685638,60
GA,13295,0.03564455212712891,224
GA,13169,0.015672814490116614,34
GA,13219,0.050823099033185264,70
GA,13151,0.043053038773438204,611
GA,13287,0.021578381285291746,30
GA,13299,0.04340953776167161,195
GA,13117,0.01675977653631285,110
GA,13047,0.025188616584634775,144
GA,13157,0.030689666904834812,164
GA,13159,0.009012219959266803,15
GA,13123,0.01125184271488312,33
GA,13227,0.024783017881417964,67
GA,13229,0.0447961257404765,97
GA,13187,0.042414151925078046,92
GA,13321,0.017966869093391787,46
GA,13013,0.02630717456492988,186
GA,13199,0.023244598765432098,64
GA,13057,0.03524515079019219,371
GA,13213,0.02847888836678526,152
GA,13143,0.029896001586896766,95
GA,13165,0.03019636419113691,2678
GA,13141,0.031021385185937098,1164
GA,13127,0.013538983126456778,110
GA,13221,0.043245055313442846,36
GA,13205,0.03416078913681885,120
GA,13045,0.02767393232796857,313
GA,13121,0.014151415091004408,1243
GA,13153,0.02949710197864906,384
GA,13297,0.014479585968947672,111
GA,13015,0.020272135013757287,223
GA,13137,0.03367857394490242,128
GA,13301,0.02136542239685658,15
GA,13029,0.016672381278930226,36
GA,13053,0.06577961019490255,33
GA,13021,0.011904174479423666,252
GA,13197,0.016449173238088068,1786
GA,13181,0.03806882642127821,26
GA,13097,0.01574180191504307,192
GA,13305,0.032155635062611806,128
GA,13103,0.023312464982582642,86
GA,13081,0.03475193858761897,118
GA,13007,0.03299379982285208,13
GA,13019,0.040402593216089404,99
GA,13189,0.03787316627661396,116
GA,13093,0.04139639108385423,61
GA,13135,0.010324709520264187,738
GA,13125,0.037464788732394366,12
GA,13313,0.01791378022904206,221
GA,13175,0.04416970535785579,288
GA,13139,0.012732183917871216,269
GA,13027,0.04827898550724638,95
GA,13099,0.02953649653245522,52
GA,13073,0.011653024937179469,70
