State,County,Total Cost,Number of Children
GA,1,64544.87424690375,2714
GA,3,19407.70376178688,1560
GA,5,33156.813753595336,1641
GA,7,10041.901941196058,384
GA,9,236332.2885169368,5265
GA,11,28155.989661873213,1890
GA,13,280254.5061558705,8743
GA,15,360286.5659008939,12281
GA,17,64913.80285615612,3045
GA,19,74261.05650185037,2721
GA,21,1246104.2656021265,24072
GA,23,35357.054938144654,1326
GA,25,33122.60692847457,2474
GA,27,43376.155239629305,2209
GA,29,86864.06157325143,2443
GA,31,234100.68107434816,7058
GA,33,32906.177278148396,3906
GA,35,72778.88777687882,2752
GA,37,52760.0285771733,733
GA,39,97630.15383563699,4631
GA,43,33652.89530262766,1733
GA,45,459837.66123440705,12896
GA,47,134127.79377664978,6908
GA,49,18007.432650737057,1311
GA,51,815587.6029029082,28281
GA,53,11259.403805453803,426
GA,55,61936.9894167942,3379
GA,57,317505.14758229733,13631
GA,59,347892.6360996464,13135
GA,61,13741.575070028013,604
GA,63,1649130.3980158959,53542
GA,65,29124.5289653299,1188
GA,67,1473317.2230182989,58619
GA,69,99181.42400466301,6780
GA,71,309651.09264155466,8030
GA,73,208927.4421246507,7503
GA,75,55619.761020188984,2787
GA,77,304970.7876721768,10932
GA,79,43234.358450429965,1485
GA,81,82245.81577168098,3707
GA,83,21898.267144718888,1273
GA,85,34892.67159469377,1695
GA,87,236213.2776131673,4670
GA,89,3287117.0341501706,88671
GA,91,55830.22453262325,2481
GA,93,21759.868366383067,1510
GA,95,722962.2149228309,18223
GA,97,551924.0405983606,15649
GA,99,23756.03780875986,1882
GA,101,3940.4790452066,630
GA,103,102756.59488973967,4520
GA,105,49186.209109572366,2657
GA,107,75855.43412679638,3687
GA,109,40735.85181569951,1789
GA,111,56671.28407569758,2350
GA,113,141557.31902729857,5173
GA,115,321572.0961489257,12034
GA,117,175830.9615362609,7683
GA,119,75885.29365970273,2734
GA,121,6508003.06582085,103025
GA,123,44514.71233155653,3272
GA,125,2025.8945054945052,348
GA,127,275022.0044997125,9337
GA,129,137929.10824761182,6824
GA,131,183648.50729070112,3627
GA,133,41705.93014351117,1996
GA,135,1685767.6890614259,87166
GA,137,91968.72632436334,4479
GA,139,367104.25312982604,25514
GA,141,10043.882412358882,1110
GA,143,125040.45629757876,3532
GA,145,94787.64567165288,1620
GA,147,41279.00866708482,2949
GA,149,38534.8296455345,1544
GA,151,730713.876885017,16781
GA,153,396920.4276796049,15177
GA,155,56515.399812648655,1368
GA,157,155350.15057295802,5673
GA,159,35627.33449425776,1730
GA,161,34426.310207036564,2562
GA,163,38397.44777879643,2625
GA,165,33932.583930726345,1340
GA,167,53162.0215451735,1129
GA,169,43733.648417371114,2431
GA,171,36661.36482063741,1978
GA,173,49373.36179127888,1318
GA,175,293284.0564353064,7865
GA,177,66373.83644408218,2852
GA,179,133347.35837108025,6058
GA,181,9515.34295103066,805
GA,183,35854.876260329525,2008
GA,185,486814.2584701096,14480
GA,187,34903.98835130509,2404
GA,189,87833.98434479455,3482
GA,191,25390.77132450882,1309
GA,193,26256.08723147768,1525
GA,195,105301.65685703278,3577
GA,197,12490.41729104229,980
GA,199,97429.3078857647,2921
GA,201,12077.585986114278,813
GA,205,124532.25205738588,3596
GA,207,38293.94952582944,2089
GA,209,16039.764281152287,996
GA,211,36007.700594680966,1741
GA,213,147978.29095926168,6209
GA,215,823601.1382805314,26437
GA,217,478682.0073762789,12628
GA,219,38898.14908531291,1604
GA,221,29236.172439543017,1050
GA,223,382267.9631812802,11484
GA,225,87488.83046770481,3229
GA,227,69007.02896377072,2837
GA,229,50425.58702294437,2461
GA,231,49509.93365951857,1657
GA,233,215796.8263812634,6030
GA,235,29162.628459307085,1049
GA,237,56289.55319647461,2562
GA,239,2870.570999915117,309
GA,241,37812.399736081854,1572
GA,243,58288.498466810954,1004
GA,245,779602.7002434485,31130
GA,247,340715.1364867641,10167
GA,249,13628.975205350207,529
GA,251,55815.373546871866,2066
GA,253,28703.26164978129,1401
GA,255,342514.2169532842,9183
GA,257,70041.12280801528,3480
GA,259,4693.812481962483,541
GA,261,180460.3703703984,5338
GA,263,11676.03351901367,617
GA,265,9915.896825396823,279
GA,267,55415.40517611836,2802
GA,269,86446.50182777883,968
GA,271,33166.35439106647,1410
GA,273,60355.30499130503,1502
GA,275,305978.82383776514,6450
GA,277,186399.93247981128,6409
GA,279,107542.90683508967,4607
GA,281,14986.107468348648,714
GA,283,52114.508175825344,890
GA,285,324253.1983381994,9001
GA,287,25397.1669401505,1368
GA,289,74866.63601432966,908
GA,291,48331.351899783935,1715
GA,293,89440.67304228562,3755
GA,295,194419.38662990328,7216
GA,297,298144.09809148265,8533
GA,299,143175.26459851256,5293
GA,301,26868.389286666148,739
GA,303,79759.60172608697,2785
GA,305,132051.21692873284,6303
GA,307,3001.0082010582014,307
GA,309,14848.88506811816,802
GA,311,45319.42875365231,2412
GA,313,212107.96871380825,13825
GA,315,7784.9746031746035,1054
GA,317,13661.268768584358,1355
GA,319,25114.456700214127,1341
GA,321,63020.179617101436,2579
GA,999,0.0,0
PA,1,63618.38012265513,6780
PA,3,475720.45934784185,91435
PA,5,34200.53024108567,5698
PA,7,106500.56132756133,14059
PA,9,159122.75041347533,4099
PA,11,495378.5512069433,41513
PA,13,376456.8048414703,11969
PA,15,218720.45068106183,5284
PA,17,674932.2814475843,30094
PA,19,101898.82947052944,10204
PA,21,442316.15447101905,11641
PA,23,22769.14406149406,510
PA,25,194743.3140022937,5270
PA,27,237651.98328480386,5752
PA,29,604883.9143044603,23066
PA,31,119315.06248679939,2969
PA,33,398607.9094727047,7526
PA,35,141567.78362592772,3195
PA,37,229043.27444026273,4790
PA,39,342840.12749303365,8215
PA,41,151515.03136633895,12581
PA,43,317266.3749975106,26328
PA,45,965738.4073472684,45981
PA,47,183781.59950694465,2466
PA,49,907200.3716784527,32406
PA,51,74963.88667133522,14593
PA,53,15137.105827505826,356
PA,55,434624.9501494748,11955
